taxonomic_level,name,ioc_species_count,authority_min,authority_max,authority_spread
genus,Dinopium,5,3,5,2
genus,Diomedea,6,2,6,4
genus,Diopsittaca,1,1,1,0
genus,Diphyllodes,2,2,2,0
genus,Discosura,5,5,5,0
genus,Diuca,1,1,1,0
genus,Dives,2,2,2,0
genus,Dolichonyx,1,1,1,0
genus,Doliornis,2,2,2,0
genus,Donacobius,1,1,1,0
genus,Donacospiza,1,1,1,0
genus,Doricha,2,2,2,0
genus,Doryfera,2,2,2,0
genus,Drepanis,3,3,3,0
genus,Drepanorhynchus,1,1,1,0
genus,Drepanornis,2,2,2,0
genus,Dreptes,1,1,1,0
genus,Driophlox,4,4,4,0
genus,Dromaius,1,1,1,0
genus,Dromas,1,1,1,0
genus,Dromococcyx,2,2,2,0
genus,Drymocichla,1,1,1,0
genus,Drymodes,3,3,3,0
genus,Drymophila,11,11,11,0
genus,Drymornis,1,1,1,0
genus,Drymotoxeres,1,1,1,0
genus,Dryobates,6,5,6,1
genus,Dryocopus,6,6,6,0
genus,Dryolimnas,2,2,2,0
genus,Dryoscopus,6,6,6,0
genus,Dubusia,4,2,4,2
genus,Ducula,42,36,42,6
genus,Dulus,1,1,1,0
genus,Dumetella,1,1,1,0
genus,Dumetia,2,2,2,0
genus,Dyaphorophyia,3,2,3,1
genus,Dysithamnus,8,8,8,0
genus,Dysmorodrepanis,1,1,1,0
genus,Eclectus,5,2,5,3
genus,Ectopistes,1,1,1,0
genus,Edolisoma,31,18,31,13
genus,Egretta,12,12,12,0
genus,Elachura,1,1,1,0
genus,Elaenia,23,19,23,4
genus,Elanoides,1,1,1,0
genus,Elanus,4,4,4,0
genus,Elaphrornis,1,1,1,0
genus,Electron,2,2,2,0
genus,Eleoscytalopus,2,2,2,0
genus,Eleothreptus,2,2,2,0
genus,Elliotomyia,2,2,2,0
genus,Elminia,5,5,5,0
genus,Emarginata,3,3,3,0
genus,Emberiza,44,41,44,3
genus,Emberizoides,3,3,3,0
genus,Embernagra,2,2,2,0
genus,Emblema,3,3,3,0
genus,Eminia,1,1,1,0
genus,Empidonax,14,14,14,0
genus,Empidonomus,1,1,1,0
genus,Empidornis,1,1,1,0
genus,Enicognathus,2,2,2,0
genus,Enicurus,8,7,8,1
genus,Enodes,1,1,1,0
genus,Ensifera,1,1,1,0
genus,Entomodestes,2,2,2,0
genus,Entomyzon,1,1,1,0
genus,Eolophus,1,1,1,0
genus,Eophona,2,2,2,0
genus,Eopsaltria,6,6,6,0
genus,Eos,6,6,6,0
genus,Ephippiorhynchus,2,2,2,0
genus,Epimachus,2,2,2,0
genus,Epinecrophylla,8,7,8,1
genus,Epthianura,4,4,4,0
genus,Eremalauda,2,1,2,1
genus,Eremomela,10,9,10,1
genus,Eremophila,2,2,2,0
genus,Eremopterix,8,8,8,0
genus,Eriocnemis,11,11,11,0
genus,Erithacus,1,1,1,0
genus,Erpornis,1,1,1,0
genus,Erythrocercus,3,3,3,0
genus,Erythrogenys,7,3,7,4
genus,Erythrogonys,1,1,1,0
genus,Erythromachus,1,1,1,0
genus,Erythropitta,13,5,13,8
genus,Erythrotriorchis,2,2,2,0
genus,Erythrura,12,10,12,2
genus,Esacus,2,2,2,0
genus,Estrilda,11,9,11,2
genus,Eubucco,4,4,4,0
genus,Euchrepomis,4,4,4,0
genus,Eucometis,1,1,1,0
genus,Eudocimus,2,2,2,0
genus,Eudromia,2,2,2,0
genus,Eudromias,1,1,1,0
genus,Eudynamys,3,2,3,1
genus,Eudyptes,8,5,8,3
genus,Eudyptula,1,1,1,0
genus,Eugenes,2,1,2,1
genus,Eugerygone,1,1,1,0
genus,Eugralla,1,1,1,0
genus,Eulacestoma,1,1,1,0
genus,Eulampis,2,2,2,0
genus,Eulidia,1,1,1,0
genus,Eulipoa,1,1,1,0
genus,Eumomota,1,1,1,0
genus,Eumyias,11,11,11,0
genus,Euneornis,1,1,1,0
genus,Eunymphicus,2,2,2,0
genus,Euodice,2,2,2,0
genus,Eupetes,1,1,1,0
genus,Eupetomena,2,2,2,0
genus,Euphagus,2,2,2,0
genus,Eupherusa,5,5,5,0
genus,Euphonia,25,24,25,1
genus,Euplectes,18,16,18,2
genus,Eupodotis,2,2,2,0
genus,Eupsittula,5,5,5,0
genus,Euptilotis,1,1,1,0
genus,Euptilotus,1,1,1,0
genus,Eurillas,5,5,5,0
